2018-11-30 19:25:27.401294+06,01721317243,1.0146484375
2018-08-17 11:44:56.705054+06,01712715024,93.806640625
2018-10-08 05:20:15.138194+06,01786845665,13.94921875
2018-10-22 18:40:57.562274+06,01789043859,23.1474609375
2018-09-07 01:47:08.494574+06,01741798636,52.451171875
2018-10-04 10:36:47.224754+06,01706938850,16.1220703125
2019-01-30 12:23:19.924574+06,01725977065,24.8251953125
2018-12-04 08:21:59.620814+06,01765206339,23.73046875
2019-01-05 19:56:12.251174+06,01791992190,52.654296875
2019-01-21 10:31:13.728674+06,01717579478,92.888671875
2019-01-30 07:27:54.594134+06,01782518458,10.9306640625
2018-11-19 14:53:07.667294+06,01775578640,3.80078125
2018-08-26 14:55:17.070014+06,01705743422,72.0830078125
2018-11-25 11:19:42.836834+06,01797631140,74.724609375
2018-10-24 21:49:39.957734+06,01734457237,23.6015625
2018-12-10 02:06:29.230514+06,01783709931,0.0146484375
2018-10-06 08:41:47.925374+06,01735717812,59.5673828125
2019-01-13 05:45:15.963074+06,01705617615,72.1513671875
2019-01-08 18:27:11.678174+06,01768875385,7.8203125
2019-02-01 18:22:27.510194+06,01744492208,72.9521484375
2018-11-25 18:16:51.376934+06,01783014226,16.65234375
2018-10-17 05:25:19.189154+06,01722791516,85.4609375
2018-08-29 21:42:12.859334+06,01737904442,17.8232421875
2018-09-09 10:29:39.657614+06,01750480099,50.0634765625
2018-10-21 23:50:53.780414+06,01702111470,0.341796875
2019-01-24 12:18:07.312634+06,01739349853,60.1083984375
2018-09-03 13:51:37.812374+06,01710116585,57.869140625
2018-11-18 10:11:50.636714+06,01732522186,37.89453125
2018-12-09 02:56:43.000934+06,01763446402,93.759765625
2018-11-18 00:05:28.905134+06,01784486072,65.1416015625
2018-09-14 19:26:45.634514+06,01763704965,27.654296875
2018-10-30 02:08:18.512834+06,01751107729,89.0888671875
2018-10-14 10:34:47.688194+06,01768798443,72.2021484375
2018-12-13 04:08:53.406914+06,01788158264,52.162109375
2018-10-01 11:09:30.572954+06,01741525065,23.888671875
2019-01-11 05:51:22.337054+06,01707529375,9.6767578125
2018-11-24 02:55:29.000054+06,01799173697,0.1103515625
2018-09-12 03:54:55.007774+06,01793314343,4.3115234375
2018-08-11 06:20:54.002534+06,01706953426,21.533203125
2018-12-23 07:03:03.763574+06,01711055441,80.14453125
2019-01-14 00:02:55.632434+06,01762798744,26.4423828125
2018-12-05 10:44:05.428274+06,01773009113,36.796875
2018-10-27 18:36:39.621194+06,01763351044,34.1826171875
2018-09-30 19:11:55.702994+06,01756060700,43.7841796875
2018-09-05 15:16:04.808954+06,01709125745,89.951171875
2018-10-05 21:06:32.378534+06,01796366436,70.4404296875
2019-01-08 09:21:59.754194+06,01750025201,1.1142578125
2018-11-11 00:44:50.451674+06,01778363263,67.8212890625
2018-11-07 07:06:34.509734+06,01730880986,89.8701171875
2018-12-16 06:11:16.844774+06,01716286115,63.7646484375
2019-01-29 08:00:36.954314+06,01705313839,64.486328125
2018-10-07 04:16:53.068574+06,01723915478,42.8310546875
