2018-12-14 10:53:01.395914+06,01705762666,01749009670,0,incoming
2018-11-08 18:41:09.764474+06,01731355481,01790458126,0,incoming
2018-11-29 16:27:09.265274+06,01705310714,01740823603,1.17,outgoing
2018-11-18 17:43:11.086094+06,01762376174,01796119409,1.6,outgoing
2018-09-05 17:20:56.172074+06,01720532916,01738595048,0,incoming
2018-11-24 16:31:13.678454+06,01778074682,01783709931,2.07,outgoing
2018-08-30 09:11:30.240374+06,01786845665,01783770339,3.6,outgoing
2018-11-26 10:42:46.710854+06,01767993123,01776281577,2.46,outgoing
2019-01-14 22:40:18.777854+06,01744590281,01798869600,3.88,outgoing
2018-09-16 15:01:19.197614+06,01788556732,01789350057,0,incoming
2018-10-15 16:48:46.221434+06,01744776955,01789136839,1.59,outgoing
2018-09-30 13:56:14.656694+06,01707645139,01746700631,2.15,outgoing
2018-11-26 11:49:25.926374+06,01739499794,01768466925,0,incoming
2018-12-14 10:14:01.900994+06,01721655650,01747388220,0,incoming
2018-11-01 02:46:13.869794+06,01769326674,01782499703,0,incoming
2018-10-20 21:29:14.942174+06,01797678424,01771399787,0,incoming
2018-09-21 05:28:31.271294+06,01748359490,01769132356,2.06,outgoing
2018-11-03 01:36:30.596714+06,01755960428,01751522059,1.23,outgoing
2019-02-01 21:48:35.199314+06,01741800162,01711212667,2.59,outgoing
2019-01-06 05:22:08.800814+06,01730025330,01742389063,0,incoming
2018-10-04 08:36:10.930994+06,01796198489,01779151671,0,incoming
2019-01-27 09:38:40.814474+06,01781517458,01723651697,1.44,outgoing
2018-12-30 10:47:39.082154+06,01741818240,01717708142,3.63,outgoing
2018-11-05 09:30:06.722054+06,01783504774,01730536635,3.68,outgoing
2018-10-09 13:44:00.000014+06,01711138415,01770994779,0,incoming
2018-11-03 04:36:50.591114+06,01787087173,01790370154,1.96,outgoing
2019-01-27 17:43:03.584954+06,01761528225,01733010285,2.09,outgoing
2018-11-21 05:29:52.929014+06,01707503658,01750190626,1.63,outgoing
2018-09-17 08:33:31.152194+06,01798877588,01774579802,0,incoming
2018-10-05 12:18:01.163834+06,01762795560,01768232136,0,incoming
2018-11-10 00:59:40.001774+06,01712034450,01734370369,0,incoming
2018-08-30 21:10:28.934534+06,01703008958,01721215204,3.15,outgoing
2018-11-22 02:35:36.990194+06,01720191163,01794298374,1.6,outgoing
2018-09-30 06:18:20.287934+06,01775617915,01778966315,1.07,outgoing
2018-12-18 22:59:35.067614+06,01775048305,01709764865,0,incoming
2018-11-03 09:28:18.204194+06,01760054485,01746486883,0,incoming
2018-09-11 04:04:39.569834+06,01719868915,01794516732,2.02,outgoing
2018-09-15 03:38:21.836534+06,01766690061,01748862104,0,incoming
2018-12-03 16:59:03.672554+06,01771011535,01717510997,0,incoming
2018-09-17 05:05:46.297634+06,01726753791,01777905111,1.84,outgoing
2018-12-21 02:13:54.511274+06,01784280305,01765940403,1.16,outgoing
2018-10-31 13:13:58.209014+06,01759743490,01708049131,0,incoming
2018-09-09 07:46:09.649334+06,01724340920,01744445739,0,incoming
2018-10-03 16:23:50.448254+06,01753164114,01769944737,0,incoming
2018-10-10 10:33:05.488334+06,01790565679,01741800162,0,incoming
2019-01-15 16:35:38.669234+06,01726473517,01752350058,1.71,outgoing
2018-09-18 20:00:45.935954+06,01752900175,01732156518,0,incoming
2019-01-03 00:02:54.378194+06,01765896073,01794444271,0,incoming
2018-11-30 13:28:37.793954+06,01703716313,01742039570,0,incoming
